Rule,Antecedent Support,Consequent Support,Support,Confidence,Lift,Conviction
"{b,y,l,m} --- > {o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,m,S} --- > {y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,y,S} --- > {o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,m} --- > {l,b,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S,m} --- > {b,l,y}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,m} --- > {b,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o,m} --- > {l,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o,S} --- > {b,l,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,l,o} --- > {b,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,o} --- > {l,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o,S} --- > {b,y,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,o} --- > {y,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,m,S} --- > {b,l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,m} --- > {l,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,m,S} --- > {b,y,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m,S} --- > {y,l,o}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,m} --- > {y,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,y,S} --- > {b,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y,S} --- > {l,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,l,y} --- > {o,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b,S} --- > {y,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,m} --- > {b,l,y,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,o} --- > {b,l,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o,S} --- > {b,y,l,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,o} --- > {b,y,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,o} --- > {y,l,m,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,m} --- > {y,l,o,S}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{y,S} --- > {b,l,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,y} --- > {l,o,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,S} --- > {b,y,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b,S} --- > {y,l,o,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{l,b} --- > {y,o,S,m}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{o} --- > {y,m,S,l,b}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{b} --- > {y,o,m,S,l}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{i,S} --- > {a,_}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
"{i,_} --- > {S,a}",0.005797101449275362,0.005797101449275362,0.005797101449275362,1.0,172.5,inf
